NAME,VISION,RARITY,WEAPON TYPE,AFFILIATION,SPECIALITY DISH,GENDER,DESCRIPTION
Albedo,Geo,5 Star,Sword,Knights of Favonious,Woodland Dream,Male,"A genius known as the Kreideprinz, he is the Chief Alchemist and Captain of the Investigation Team of the Knights of Favonius."
Aloy,Cryo,6 Star,Bow,Wandering Heroine,Sateity Gel,Female,"Formerly an outcast, now a hunter of unparalleled skill. Ready to do the right thing at any time."
Amber,Pyro,4 Star,Bow,Knights of Favonious,Outrider's Chanpion Steak,Female,"Always energetic and full of life, Amber's the best — albeit only — Outrider of the Knights of Favonius."
Arataki Itto,Geo,5 Star,Claymore,Arataki Gang,Way of the Strong,Male,"The first and greatest head of the Arataki Gang, famed throughout Inazuma City's Hanamizaka... Wait, what? You've never heard of them? Are you trying to be funny here?"
Barbara,Hydro,4 Star,Catalyst,Church of Favonius,Spicy Stew,Female,"Every citizen of Mondstadt adores Barbara. She learned the word \""idol\"" from a magazine."
Beidou,Electro,4 Star,Claymore,The Crux,Flash-Fried Fillet,Female,"Captain of her crew, The Crux. She's quite an unbound and forthright woman."
Bennett,Pyro,4 Star,Sword,Adventurers' Guild,Teyvat Charred Egg,Male,A good-natured adventurer from Mondstadt who's unfortunately extremely unlucky.
Candace,Hydro,4 Star,Polearm,Aaru Village,Utmost Care,Female,A descendant of King Deshret with an amber left eye. The defender of Aaru Village.
Chongyun,Cryo,4 Star,Claymore,Tianheng Thaumaturges,Cold Noodles with Mountain Delicacies,Male,A young exorcist from a family of exorcists. He does everything he can to suppress his abundance of yang energy.
Collei,Dendro,4 Star,Bow,Avidya Forest Ranger Trainee,Yearning,Female,A trainee ranger active in Avidya Forest. Behind her enthusiastic words and actions hides a slightly introverted personality.
Cyno,Electro,5 Star,Polearm,Temple of Silence,Duel Soul,Male,"The General Mahamatra in charge of supervising the researchers of the Akademiya. It is said that when he gets down to work, the General Mahamatra is even more efficient than the \""Great Vayuvyastra\"" made by the Kshahrewar."
Diluc,Pyro,5 Star,Claymore,Dawn Winery,Once Upon a Time in Mondstadt,Male,"The tycoon of a winery empire in Mondstadt, unmatched in every possible way."
Diona,Cryo,4 Star,Bow,The Cat's Tail,Definitely Not Bar Food!,Female,A young lady who has inherited trace amounts of non-human blood. She is the incredibly popular bartender of the Cat's Tail tavern.
Dori,Electro,4 Star,Claymore,The Palace of Alcazarzaray,Show Me the Mora,Female,An elusive merchant who has a fondness for glittering Mora.
Eula,Cryo,5 Star,Claymore,Knights of Favonius,Stormcrest Pie,Female,"The Spindrift Knight, a scion of the old aristocracy, and the Captain of the Knights of Favonius Reconnaissance Company. The reason for which a descendant of the ancient nobles might join the Knights remains a great mystery in Mondstadt to this very day."
Fischl,Electro,4 Star,Bow,Adventurers' Guild,Die Heiilige Sinfonie,Female,"A mysterious girl who calls herself \""Prinzessin der Verurteilung\"" and travels with a night raven named Oz."
Ganyu,Cryo,5 Star,Bow,Yuehai Pavilion,Prosperous Peace,Female,"The secretary at Yuehai Pavilion. The blood of the qilin, an illuminated beast, flows within her veins."
Gorou,Geo,4 Star,Bow,Watatsumi Island,Victorious Legend,Male,The great general of Watatsumi Island's forces. He is deeply trusted by his subordinates.
Hu Tao,Pyro,5 Star,Polearm,Wangsheng Funeral Parlor,Ghostly March,Female,The 77th Director of the Wangsheng Funeral Parlor. She took over the business at a rather young age.
Jean,Anemo,5 Star,Sword,Knights of Favonius,Invigorating Pizza,Female,"The righteous and rigorous Dandelion Knight, and Acting Grand Master of Mondstadt's Knights of Favonius."
Kaedahara Kazuha,Anemo,5 Star,Sword,The Crux,All-Weather Beauty,Male,A wandering samurai from Inazuma who is currently with Liyue's Crux Fleet. A gentle and carefree soul whose heart hides a great many burdens from the past.
